"id_mascota,nombre,especie,fecha_nacimiento,sexo,tamaño,estirilizado,descripcion,id_refugio"
"23,Frank,Gato,2021-02-11,macho,mediano,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",3"
"24,Calvin,Reptil,2019-02-21,hembra,mediano,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",3"
"25,Deborah,Reptil,2019-03-05,desconocido,chico,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",4"
"26,Michael,Ave,2022-07-14,desconocido,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",6"
"27,Eric,Gato,2015-02-12,macho,chico,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",1"
"28,Jasmine,Reptil,2019-01-13,macho,chico,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",5"
"29,Nicholas,Ave,2022-02-16,macho,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",8"
"30,Keith,Reptil,2015-04-13,hembra,chico,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",8"
"31,Mitchell,Gato,2018-02-11,macho,mediano,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",8"
"32,Susan,Perro,2019-03-02,hembra,grande,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",12"
"33,Wendy,Gato,2021-11-22,hembra,chico,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",1"
"34,Clayton,Ave,2020-04-18,desconocido,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",1"
"35,Jennifer,Reptil,2023-08-18,macho,grande,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",1"
"36,April,Ave,2019-02-12,macho,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",12"
"37,Rachel,Reptil,2018-01-06,desconocido,grande,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",12"
"38,Deanna,Ave,2016-11-16,desconocido,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",7"
"39,Karen,Conejo,2019-03-22,hembra,mediano,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",7"
"40,Jared,Gato,2023-10-28,desconocido,grande,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",9"
"41,Jeffrey,Perro,2019-09-18,macho,grande,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",1"
"42,Michelle,Perro,2016-12-28,hembra,chico,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",2"
"43,Paul,Perro,2023-09-09,macho,grande,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",10"
"44,Kristopher,Gato,2015-12-05,hembra,chico,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",11"
"45,Timothy,Conejo,2018-06-12,hembra,mediano,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",11"
"46,Christopher,Reptil,2017-11-24,hembra,grande,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",10"
"47,Edwin,Perro,2018-10-02,macho,mediano,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",6"
"48,Erin,Gato,2022-02-12,hembra,chico,1,""Gato curioso que ama explorar cada rincon y descansar bajo el sol."",6"
"49,Mike,Conejo,2017-06-12,macho,grande,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",6"
"50,Jason,Ave,2022-08-07,macho,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",4"
"51,Cassidy,Reptil,2023-11-26,hembra,chico,1,""Reptil tranquilo que se siente feliz en un ambiente calido y seguro."",4"
"52,Keith,Ave,2018-03-29,hembra,chico,1,""Ave alegre que llena el lugar con su canto y su energia vibrante."",2"
"53,Matthew,Conejo,2022-04-08,hembra,chico,1,""Conejito especial que merece todo el cariÃ±o y cuidado del mundo."",1"
"54,Jordan,Perro,2023-12-06,hembra,grande,1,""Perro muy amigable que disfruta de largos paseos y juegos con su familia."",1"
